sales_order_id,sales_order_datetime,manufacturing_start_datetime,manufacturing_completed_datetime,shipped_datetime,attempts,pass_rate
1,2018-01-07 00:03:00,2018-01-07 04:09:22,2018-01-09 11:38:29,2018-01-10 04:13:02,2,0.5
2,2018-01-07 00:07:57,2018-01-07 03:58:25,2018-01-08 10:39:03,2018-01-09 03:44:39,1,1.0
3,2018-01-07 00:13:41,2018-01-07 06:44:16,2018-01-11 22:30:43,2018-01-12 12:06:08,3,0.3333333333333333
4,2018-01-07 00:34:54,2018-01-07 05:50:40,2018-01-08 17:26:05,2018-01-09 06:31:29,1,1.0
5,2018-01-07 00:58:50,2018-01-07 06:33:56,2018-01-12 05:32:17,2018-01-12 21:24:42,5,0.2
6,2018-01-07 01:02:26,2018-01-07 05:54:11,2018-01-12 11:39:12,2018-01-13 02:41:36,3,0.3333333333333333
7,2018-01-07 01:02:28,2018-01-07 06:19:50,2018-01-08 10:00:15,2018-01-09 05:00:09,1,1.0
8,2018-01-07 01:02:58,2018-01-07 06:58:56,2018-01-08 11:19:53,2018-01-08 22:29:17,1,1.0
9,2018-01-07 01:44:04,2018-01-07 05:44:17,2018-01-08 08:35:50,2018-01-09 00:50:10,1,1.0
10,2018-01-07 01:46:20,2018-01-07 07:02:13,2018-01-08 12:59:32,2018-01-09 05:11:53,1,1.0
11,2018-01-07 02:34:59,2018-01-07 08:16:44,2018-01-08 12:58:19,2018-01-09 02:26:52,1,1.0
12,2018-01-07 02:49:21,2018-01-07 09:22:02,2018-01-08 14:11:27,2018-01-09 03:15:20,1,1.0
13,2018-01-07 03:05:48,2018-01-07 10:02:40,2018-01-08 06:20:09,2018-01-08 20:39:26,1,1.0
14,2018-01-07 03:24:38,2018-01-07 08:28:49,2018-01-10 04:52:23,2018-01-10 16:35:24,2,0.5
15,2018-01-07 03:54:47,2018-01-07 10:03:06,2018-01-10 07:32:21,2018-01-11 01:27:13,2,0.5
16,2018-01-07 04:04:31,2018-01-07 06:24:18,2018-01-16 18:03:18,2018-01-17 14:27:23,5,0.2
17,2018-01-07 04:48:15,2018-01-07 11:21:23,2018-01-14 23:53:25,2018-01-15 14:12:27,5,0.2
18,2018-01-07 05:32:55,2018-01-07 09:49:21,2018-01-09 23:29:56,2018-01-10 13:13:13,2,0.5
19,2018-01-07 05:50:51,2018-01-07 10:36:23,2018-01-09 16:44:05,2018-01-10 05:06:46,2,0.5
20,2018-01-07 06:10:13,2018-01-07 11:36:40,2018-01-10 05:34:44,2018-01-10 18:23:11,2,0.5
21,2018-01-07 06:22:00,2018-01-07 11:12:47,2018-01-08 23:07:05,2018-01-09 12:56:21,1,1.0
22,2018-01-07 06:45:40,2018-01-07 11:57:27,2018-01-11 08:21:49,2018-01-12 01:46:52,3,0.3333333333333333
23,2018-01-07 08:36:21,2018-01-07 15:11:36,2018-01-09 01:01:13,2018-01-09 22:24:22,1,1.0
24,2018-01-07 10:08:27,2018-01-07 14:45:23,2018-01-09 10:25:34,2018-01-09 23:58:49,1,1.0
25,2018-01-07 11:22:15,2018-01-07 15:17:02,2018-01-12 21:02:54,2018-01-13 10:14:39,4,0.25
26,2018-01-07 13:03:00,2018-01-07 19:51:48,2018-01-10 18:01:26,2018-01-11 06:41:16,3,0.3333333333333333
27,2018-01-07 13:29:07,2018-01-07 19:00:43,2018-01-10 23:22:32,2018-01-11 15:16:37,2,0.5
28,2018-01-07 13:54:10,2018-01-07 20:49:30,2018-01-12 06:22:45,2018-01-12 22:04:03,3,0.3333333333333333
29,2018-01-07 15:47:42,2018-01-07 21:39:31,2018-01-08 21:59:54,2018-01-09 13:12:00,1,1.0
